Producto,Precio,Precio_Unidad,Peso,Categoria,Marca,Fecha,Precio_Promocion,Link,link
Pasta BARILLA MARCA EXCLUSIVA (500 gr),$ 8.460,Gr a $ 16,500 gr,Pasta,BARILLA MARCA EXCLUSIVA,2025-01-14,,,
Sardina LA SOBERANA Conserva En Salsa De Tomate (280 gr),$ 10.500,Gr a $ 37,280 gr,Sardina,LA SOBERANA,2025-01-14,,,
Pimienta EL REY Pura (25 gr),$ 2.150,Gr a $ 86,25 gr,Pimienta,EL REY,2025-01-14,,,
Café LA BASTILLA tostado y molido (450 gr),$ 15.950,Gr a $ 35,450 gr,Café,LA BASTILLA,2025-01-14,,,
Pasta BARILLA MARCA EXCLUSIVA (500 gr),$ 10.000,Gr a $ 20,500 gr,Pasta,BARILLA MARCA EXCLUSIVA,2025-01-14,,,
Crema de maní TOSH Sin azúcar (300 gr),$ 18.000,Gr a $ 60,300 gr,Crema,TOSH,2025-01-14,,,
Café LA BASTILLA fuerte (390 gr),$ 14.250,Gr a $ 36,390 gr,Café,LA BASTILLA,2025-01-14,,,
Sal REFISAL alta pureza (1000 gr),$ 2.520,Gr a $ 2,1000 gr,Sal,REFISAL,2025-01-15,,,
Galletas SALTIN NOEL Tradicional x6 tacos (531 gr),$ 9.520,Gr a $ 17,531 gr,Galletas,SALTIN NOEL,2025-01-15,,,
Café SELLO ROJO Molido fuerte (600 gr),$ 24.450,Gr a $ 40,600 gr,Café,SELLO ROJO,2025-01-15,,,
Aceite EXITO MARCA PROPIA de girasol (900 ml),$ 7.880,Ml a $ 8,900 ml,Aceite,EXITO MARCA PROPIA,2025-01-15,,,
Arroz DIANA (1000 gr),$ 6.820,Gr a $ 6,1000 gr,Arroz,DIANA,2025-01-15,,,
Caldo de Gallina MAGGI Desmenuzado paga 12 lleva 14 (108 gr),$ 5.440,Gr a $ 50,108 gr,Caldo,MAGGI,2025-01-15,,,
Galletas DUCALES x5 tacos (500 gr),$ 13.100,Gr a $ 26,500 gr,Galletas,DUCALES,2025-01-15,,,
Spaguetti DORIA Clásico (1000 gr),$ 5.592,Gr a $ 5,1000 gr,Spaguetti,DORIA,2025-01-15,,,
Atún VAN CAMPS En aceite de girasol (416 gr),$ 35.700,Gr a $ 85,416 gr,Atún,VAN CAMPS,2025-01-15,,,
Azúcar MANUELITA (1000 gr),$ 5.890,Gr a $ 5,1000 gr,Azúcar,MANUELITA,2025-01-15,,,
Aceite GOURMET multiusos (900 ml),$ 20.650,Ml a $ 22,900 ml,Aceite,GOURMET,2025-01-15,,,
Lomos Atun ZENU Aceite de girasol (104 gr),$ 7.040,Gr a $ 67,104 gr,Lomos,ZENU,2025-01-15,,,
Café JUAN VALDEZ Colina molido (454 gr),$ 35.450,Gr a $ 78,454 gr,Café,JUAN VALDEZ,2025-01-15,,,
Chocolate de mesa CORONA TRADICIONAL PASTILLADO (450 gr),$ 16.500,Gr a $ 36,450 gr,Chocolate,CORONA TRADICIONAL PASTILLADO,2025-01-15,,,
Azucar MANUELITA (2000 gr),$ 7.760,Gr a $ 3,2000 gr,Azucar,MANUELITA,2025-01-15,,,
Tortillas BIMBO Tradicional Tamaño M x15und (450 gr),$ 13.300,Gr a $ 29,450 gr,Tortillas,BIMBO M,2025-01-15,,,
Café MATIZ tostión oscura y molienda gruesa (340 gr),$ 25.550,Gr a $ 75,340 gr,Café,MATIZ,2025-01-15,,,
Atún VAN CAMPS En agua natural (156 gr),$ 11.560,Gr a $ 74,156 gr,Atún,VAN CAMPS,2025-01-15,,,
Atún VAN CAMPS En agua natural (416 gr),$ 33.800,Gr a $ 81,416 gr,Atún,VAN CAMPS,2025-01-15,,,
Frijol DIANA (500 gr),$ 6.150,Gr a $ 12,500 gr,Frijol,DIANA,2025-01-15,,,
Salsa De Tomate FRUCO Doy Pack (600 gr),$ 10.590,Gr a $ 17,600 gr,Salsa,FRUCO,2025-01-15,,,
Café instantáneo NESCAFE TRADICIÓN (170 gr),$ 24.600,Gr a $ 144,170 gr,Café,NESCAFE TRADICIÓN,2025-01-15,,,
Café instantáneo NESCAFE TRADICIÓN (231 gr),$ 26.550,Gr a $ 114,231 gr,Café,NESCAFE TRADICIÓN,2025-01-15,,,
Salsa MAGGI bechamel (50 gr),$ 4.580,Gr a $ 91,50 gr,Salsa,MAGGI,2025-01-15,,,
Salsa LA CONSTANCIA Tomate (1000 gr),$ 18.450,Gr a $ 18,1000 gr,Salsa,LA CONSTANCIA,2025-01-15,,,
Salsa MAGGI bolognesa (50 gr),$ 4.210,Gr a $ 84,50 gr,Salsa,MAGGI,2025-01-15,,,
Gelatina Sin Azúcar Sabor Mora TAEQ 11 gr,$ 1.680,Gr a $ 152,,Gelatina,TAEQ,2025-01-15,,,
MILO MILO ACTIVGP (590 gr),$ 26.650,Gr a $ 45,590 gr,MILO,MILO MILO ACTIVGP,2025-01-15,,,
Gelatina Sin Azúcar Sabor Cereza TAEQ 11 gr,$ 1.680,Gr a $ 152,,Gelatina,TAEQ,2025-01-15,,,
Café instantáneo NESCAFE TRADICIÓN (50 gr),$ 8.490,Gr a $ 169,50 gr,Café,NESCAFE TRADICIÓN,2025-01-15,,,
Cereal CHOCO KRISPIS Choco Krispis Chocolate (570 gr),$ 27.550,Gr a $ 48,570 gr,Cereal,CHOCO KRISPIS,2025-01-15,,,
Paprika EL REY Pura (25 gr),$ 1.700,Gr a $ 68,25 gr,Paprika,EL REY,2025-01-15,,,
Maíz ZENU lata x2und sin azúcar añadido (298 gr),$ 10.625,Gr a $ 35,298 gr,Maíz,ZENU,2025-01-15,,,
Pasta de tomate LA CONSTANCIA Doy pack (200 gr),$ 9.420,Gr a $ 47,200 gr,Pasta,LA CONSTANCIA,2025-01-15,,,
Cereal ZUCARITAS Zucaritas Original (610 gr),$ 27.550,Gr a $ 45,610 gr,Cereal,ZUCARITAS,2025-01-15,,,
Azucar RIOPAILA (1000 gr),$ 5.040,Gr a $ 5,1000 gr,Azucar,RIOPAILA,2025-01-15,,,
