Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
508,Chocolate GIRONES Chocolate (500 gr),500 gr,Chocolate,GIRONES,https://www.exito.com/chocolate-casero-463168/p,https://www.exito.com/chocolate-casero-463168/p,723483,2.421,7703092100025
509,Café Descafeinado NESCAFE DECAF instantáneo (100 gr),100 gr,Café,NESCAFE DECAF,https://www.exito.com/cafe-descafeinado-966294/p,https://www.exito.com/cafe-descafeinado-966294/p,1348279,2.457,7613036475273
510,Chocolate de mesa LYNE endulzado con splenda (166.4 gr),166.4 gr,Chocolate,LYNE,https://www.exito.com/chocolate-light-endulzado-lyne-1664-gr-3122839/p,https://www.exito.com/chocolate-light-endulzado-lyne-1664-gr-3122839/p,3383744,2.386,7702007078022
511,Chocolate LUKER tradicional sin azúcar (224 gr),224 gr,Chocolate,LUKER,https://www.exito.com/chocolate-luker-amargo-224-gr-3191910/p,https://www.exito.com/chocolate-luker-amargo-224-gr-3191910/p,3624959,2.529,7702088215491
512,Café JUAN VALDEZ Cumbre molido (454 gr),454 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-molido-cumbre-juan-valdez-454-gr-3027175/p,https://www.exito.com/cafe-molido-cumbre-juan-valdez-454-gr-3027175/p,3054603,6.307,7707284458406
513,Chocolate De Mesa CORONA Instantáneo (200 gr),200 gr,Chocolate,CORONA,https://www.exito.com/chocolate-de-mesa-corona-instantaneo-200-gr-3179628/p,https://www.exito.com/chocolate-de-mesa-corona-instantaneo-200-gr-3179628/p,3578473,1.324,7702007083347
514,Café BUENDIA Liofilizado (85 gr),85 gr,Café,BUENDIA,https://www.exito.com/cafe-buen-dia-liofilizado-85-gr-318958/p,https://www.exito.com/cafe-buen-dia-liofilizado-85-gr-318958/p,916412,2.450,7707211630912
515,Café CAFE QUINDIO gourmet tostado y molido (454 gr),454 gr,Café,CAFE QUINDIO,https://www.exito.com/cafe-gourmet-tostado-molido-arabica-cafe-quindio-454-gr-3124275/p,https://www.exito.com/cafe-gourmet-tostado-molido-arabica-cafe-quindio-454-gr-3124275/p,3388425,5.164,7702728231881
516,Café COLCAFE capuccino clásico (200 gr),200 gr,Café,COLCAFE,https://www.exito.com/cappuccino-clasico-colcafe-200-gr-3156702/p,https://www.exito.com/cappuccino-clasico-colcafe-200-gr-3156702/p,3517536,3.107,7702032118410
517,Chocolate EKONO tradicional (500 gr),500 gr,Chocolate,EKONO,https://www.exito.com/chocolate-tradicional-ekono-500-gr-3140249/p,https://www.exito.com/chocolate-tradicional-ekono-500-gr-3140249/p,3454319,1.569,7701001925769
518,Chocolate CORONA Con azúcar pastillas (250 gr),250 gr,Chocolate,CORONA,https://www.exito.com/chocolate-con-azucar-881219/p,https://www.exito.com/chocolate-con-azucar-881219/p,634648,1.300,7702007205053
519,Café SELLO ROJO tostado y molido (450 gr),450 gr,Café,SELLO ROJO,https://www.exito.com/cafe-molido-vive-corazon-927519/p,https://www.exito.com/cafe-molido-vive-corazon-927519/p,1298254,2.893,7702032111299
520,Café COLCAFE suave clásico (170 gr),170 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-x-170-gr-15701/p,https://www.exito.com/cafe-instantaneo-x-170-gr-15701/p,5982,3.086,7702032253111
521,Café COLCAFE suave clásico (85 gr),85 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-x-85-gr-15700/p,https://www.exito.com/cafe-instantaneo-x-85-gr-15700/p,5981,1.714,7702032253135
522,Chocolate de mesa CORONA VAINILLA PASTILLADO (450 gr),450 gr,Chocolate,CORONA VAINILLA PASTILLADO,https://www.exito.com/chocolate-de-mesa-corona-vainilla-pastillado-450-gr-3190946/p,https://www.exito.com/chocolate-de-mesa-corona-vainilla-pastillado-450-gr-3190946/p,3622558,2.414,7702007084566
523,Café MATIZ saborizado baileys (240 gr),240 gr,Café,MATIZ,https://www.exito.com/cafe-saborizado-baileys-matiz-240-gr-3130917/p,https://www.exito.com/cafe-saborizado-baileys-matiz-240-gr-3130917/p,3415888,3.150,7702032117925
524,Café SELLO ROJO Tradicional (1000 gr),1000 gr,Café,SELLO ROJO,https://www.exito.com/tradicional-bolsa-sello-rojo-1000-gr-3161773/p,https://www.exito.com/tradicional-bolsa-sello-rojo-1000-gr-3161773/p,3537583,5.386,7702032102488
525,Café instantáneo NESCAFE ARTESANO Antioquia (150 gr),150 gr,Café,NESCAFE ARTESANO,https://www.exito.com/cafe-artesano-antioquia-nescafe-150-gr-3120902/p,https://www.exito.com/cafe-artesano-antioquia-nescafe-150-gr-3120902/p,3376501,3.879,7702024849407
526,Café MATIZ Molido Suave (340 gr),340 gr,Café,MATIZ,https://www.exito.com/cafe-marfil-tostado-y-molido-x-340-gr-893452/p,https://www.exito.com/cafe-marfil-tostado-y-molido-x-340-gr-893452/p,1227278,3.497,7702032111022
527,Café LA BASTILLA fuerte (390 gr),390 gr,Café,LA BASTILLA,https://www.exito.com/cafe-fuerte-la-bastilla-390-gr-3155086/p,https://www.exito.com/cafe-fuerte-la-bastilla-390-gr-3155086/p,3511176,1.936,7702032118762
528,Café OMA Tostado Molido Tradicional (454 gr),454 gr,Café,OMA,https://www.exito.com/cafe-tostado-molido-tradicional-oma-454-gr-3114832/p,https://www.exito.com/cafe-tostado-molido-tradicional-oma-454-gr-3114832/p,3359887,2.451,7702747443951
529,Café JUAN VALDEZ Colina molido (340 gr),340 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-molido-balanceado-colina-340-gr-421032/p,https://www.exito.com/cafe-molido-balanceado-colina-340-gr-421032/p,598994,4.636,7707280883783
