Unnamed: 0,Producto,Peso,Categoria,Marca,Link,link,PLU,Puntos,EAN
585,Café JUAN VALDEZ Liofilizado clásico (95 gr),95 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-liofilizado-en-frasco-95-gr-958460/p,https://www.exito.com/cafe-liofilizado-en-frasco-95-gr-958460/p,819302,4.136,7707211631469
586,Chocolate LUKER mesa tradicional con azúcar morena (400 gr),400 gr,Chocolate,LUKER,https://www.exito.com/chocolate-luker-mesa-tradicional-azucar-morena-400-gr-3187404/p,https://www.exito.com/chocolate-luker-mesa-tradicional-azucar-morena-400-gr-3187404/p,3611111,1.686,7702088214579
587,Chocolate de mesa LA ESPECIAL pastillado vainilla (400 gr),400 gr,Chocolate,LA ESPECIAL,https://www.exito.com/chocolate-de-mesa-pastillado-vainilla-la-especial-400-gr-3158743/p,https://www.exito.com/chocolate-de-mesa-pastillado-vainilla-la-especial-400-gr-3158743/p,3526076,1.821,7702007082616
588,Café JUAN VALDEZ Liofilizado clásico (50 gr),50 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-liofilizado-en-frasco-50-gr-958456/p,https://www.exito.com/cafe-liofilizado-en-frasco-50-gr-958456/p,764210,2.429,7707211631452
589,Café CAFE QUINDIO gourmet tostado en grano (454 gr),454 gr,Café,CAFE QUINDIO,https://www.exito.com/cafe-gourmet-arabica-premium-excels-cafe-quindio-454-gr-3124276/p,https://www.exito.com/cafe-gourmet-arabica-premium-excels-cafe-quindio-454-gr-3124276/p,3388426,6.229,7702728231898
590,Chocolate Mesa CORONA Clavos y Canela (200 gr),200 gr,Chocolate,CORONA,https://www.exito.com/chocolate-mesa-corona-clavos-y-canela-200-gr-3179806/p,https://www.exito.com/chocolate-mesa-corona-clavos-y-canela-200-gr-3179806/p,3578932,1.309,7702007083101
591,Café JUAN VALDEZ Liofilizado dulce de leche (95 gr),95 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-juan-valdez-liofilizado-dulce-de-leche-x-95-gr-44442/p,https://www.exito.com/cafe-juan-valdez-liofilizado-dulce-de-leche-x-95-gr-44442/p,1656459,3.943,7701362014881
592,Café BUENDIA Amaretto (85 gr),85 gr,Café,BUENDIA,https://www.exito.com/cafe-amaretto-687019/p,https://www.exito.com/cafe-amaretto-687019/p,89171,2.829,7707211632206
593,Café BUENDIA Descafeinado (85 gr),85 gr,Café,BUENDIA,https://www.exito.com/cafe-liofilizado-descafeinado-85-gr-395775/p,https://www.exito.com/cafe-liofilizado-descafeinado-85-gr-395775/p,317410,2.643,7707211631209
594,Café EKONO tostado y molido (250 gr),250 gr,Café,EKONO,https://www.exito.com/cafe-tostado-molido-ekono-x-gr-445190/p,https://www.exito.com/cafe-tostado-molido-ekono-x-gr-445190/p,258027,1.256,7701001058993
595,Café instantáneo NESCAFE ARTESANO Santuario Risaralda (150 gr),150 gr,Café,NESCAFE ARTESANO,https://www.exito.com/cafe-artesano-santuario-nescafe-150-gr-3120901/p,https://www.exito.com/cafe-artesano-santuario-nescafe-150-gr-3120901/p,3376500,3.886,7702024525035
596,Cocoa CORONA Baja en grasa (100 gr),100 gr,Cocoa,CORONA,https://www.exito.com/cocoa-superior-baja-en-grasa-x-100-gr-3266/p,https://www.exito.com/cocoa-superior-baja-en-grasa-x-100-gr-3266/p,976421,1.571,7702007031560
597,Café MATIZ liofilizado (170 gr),170 gr,Café,MATIZ,https://www.exito.com/cafe-liofilizado-matiz-170-gr-3129485/p,https://www.exito.com/cafe-liofilizado-matiz-170-gr-3129485/p,3409475,4.014,7702032118113
598,Café SELLO ROJO tostado y molido (125 gr),125 gr,Café,SELLO ROJO,https://www.exito.com/cafe-laminado-881209/p,https://www.exito.com/cafe-laminado-881209/p,634230,773,7702032252251
599,Café AGUILA ROJA (250 gr),250 gr,Café,AGUILA ROJA,https://www.exito.com/cafe-molido-250-gr-50372/p,https://www.exito.com/cafe-molido-250-gr-50372/p,13532,1.303,7702040027001
600,Café JUAN VALDEZ Liofilizado chocolate (95 gr),95 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-liofilizado-chocolate-95-gr-58371/p,https://www.exito.com/cafe-liofilizado-chocolate-95-gr-58371/p,808297,3.800,7707211631865
601,Chocolate de mesa LYNE clavos y canela (166.4 gr),166.4 gr,Chocolate,LYNE,https://www.exito.com/chocolate-light-clavos-y-canela-lyne-1664-gr-3122836/p,https://www.exito.com/chocolate-light-clavos-y-canela-lyne-1664-gr-3122836/p,3383741,2.186,7702007077933
602,Chocolate TAEQ en polvo con stevia (200 gr),200 gr,Chocolate,TAEQ,https://www.exito.com/chocomelt-taeq-200-gr-3128980/p,https://www.exito.com/chocomelt-taeq-200-gr-3128980/p,3407659,2.179,7701001946580
603,Café COLCAFE con leche (220 gr),220 gr,Café,COLCAFE,https://www.exito.com/cafe-con-leche-colcafe-220-gr-3123071/p,https://www.exito.com/cafe-con-leche-colcafe-220-gr-3123071/p,3384491,1.871,7702032117789
604,Café COLCAFE 3 en 1 más cremoso (418 gr),418 gr,Café,COLCAFE,https://www.exito.com/cafe-3-en-1-mas-cremoso-colcafe-418-gr-3133973/p,https://www.exito.com/cafe-3-en-1-mas-cremoso-colcafe-418-gr-3133973/p,3427389,3.586,7702032118151
605,Café BUENDIA Liofilizado (340 gr),340 gr,Café,BUENDIA,https://www.exito.com/cafe-buendia-liofilizado-340-gr-727704/p,https://www.exito.com/cafe-buendia-liofilizado-340-gr-727704/p,667292,7.957,7707211631445
606,Café MATIZ tostión media y molienda gruesa (340 gr),340 gr,Café,MATIZ,https://www.exito.com/cafe-molido-premium-matiz-340-gramo-373236/p,https://www.exito.com/cafe-molido-premium-matiz-340-gramo-373236/p,1774239,4.193,7702032115150
607,Café SELLO ROJO tostado y molido (250 gr),250 gr,Café,SELLO ROJO,https://www.exito.com/cafe-descafeinado-medio-tostado-y-molido-x-250-gr-661132/p,https://www.exito.com/cafe-descafeinado-medio-tostado-y-molido-x-250-gr-661132/p,666452,2.343,7702032252770
608,Café TOSTAO Soluble Instantáneo Granulado (85 gr),85 gr,Café,TOSTAO,https://www.exito.com/cafe-granulado-instantaneo-tostao-85-gr-3072667/p,https://www.exito.com/cafe-granulado-instantaneo-tostao-85-gr-3072667/p,3214955,1.691,7702439135126
609,Crema no láctea INSTACREM suave (450 gr),450 gr,Crema,INSTACREM,https://www.exito.com/instacrem-sin-lactosa-light-450-gr-642210/p,https://www.exito.com/instacrem-sin-lactosa-light-450-gr-642210/p,610875,3.114,7702354133016
610,Café COLCAFE 3 en 1 crema y endulzante (310 gr),310 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-3-en-1-colcafe-310-gr-3133246/p,https://www.exito.com/cafe-instantaneo-3-en-1-colcafe-310-gr-3133246/p,3423471,4.421,7702032118328
611,Café TOSTAO Soluble Instantáneo Granulado (170 gr),170 gr,Café,TOSTAO,https://www.exito.com/cafe-instant-granulad-colombia-tostao-170-gr-3072668/p,https://www.exito.com/cafe-instant-granulad-colombia-tostao-170-gr-3072668/p,3214956,2.840,7702439755133
612,Chocolate CORONA Tradicional (1000 gr),1000 gr,Chocolate,CORONA,https://www.exito.com/of-2chocolt-x16past-gts-chocol-corona-1000-gr-728202/p,https://www.exito.com/of-2chocolt-x16past-gts-chocol-corona-1000-gr-728202/p,8718,4.300,7702007058833
613,Chocolate LUKER clavos canela light (156.2 gr),156.2 gr,Chocolate,LUKER,https://www.exito.com/chocolate-clavos-canela-light-luker-1562-gr-3031798/p,https://www.exito.com/chocolate-clavos-canela-light-luker-1562-gr-3031798/p,3070519,1.936,7702088204488
614,Café NESCAFE BLACK (170 gr),170 gr,Café,NESCAFE BLACK,https://www.exito.com/cafe-black-tostado-intenso-nescafe-170-gr-3161836/p,https://www.exito.com/cafe-black-tostado-intenso-nescafe-170-gr-3161836/p,3537728,3.536,7506475120210
615,DOLCE GUSTO NESCAFE DOLCE GUSTO CHOCOCHINO (170 gr),170 gr,DOLCE,DOLCE GUSTO NESCAFE DOLCE GUSTO CHOCOCHINO,https://www.exito.com/dolce-gusto-nescafe-dolce-gusto-chocochino-170-gr-3190011/p,https://www.exito.com/dolce-gusto-nescafe-dolce-gusto-chocochino-170-gr-3190011/p,3619898,3.286,7891000403587
616,Cacao LUKER en polvo con splenda (200 gr),200 gr,Cacao,LUKER,https://www.exito.com/cacao-polvo-express-luker-200-gr-3046729/p,https://www.exito.com/cacao-polvo-express-luker-200-gr-3046729/p,3126906,2.343,7702088206277
617,Kit café JUAN VALDEZ x4 sachets origen (280 gr),280 gr,Kit,JUAN VALDEZ,https://www.exito.com/kit-4-sachets-origen-x-280-gr-135799/p,https://www.exito.com/kit-4-sachets-origen-x-280-gr-135799/p,907221,4.143,7701362002918
618,Café MATIZ Ébano Medio Fuerte (340 gr),340 gr,Café,MATIZ,https://www.exito.com/cafe-ebano-tostado-y-molido-x-340-gr-893455/p,https://www.exito.com/cafe-ebano-tostado-y-molido-x-340-gr-893455/p,1227281,3.464,7702032111053
619,Café EXITO MARCA PROPIA instantáneo original (50 gr),50 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/caf-instantaneo-pulverizado-x-50-gr-917288/p,https://www.exito.com/caf-instantaneo-pulverizado-x-50-gr-917288/p,977397,779,7701001071817
620,Chocolate CORONA Con azúcar (250 gr),250 gr,Chocolate,CORONA,https://www.exito.com/chocolate-de-mesa-con-azucar-x-10-pastillas-x-250-gr-881221/p,https://www.exito.com/chocolate-de-mesa-con-azucar-x-10-pastillas-x-250-gr-881221/p,634664,1.284,7702007205046
621,Crema no láctea INSTACREM suave (144 gr),144 gr,Crema,INSTACREM,https://www.exito.com/instacrem-caja-light-en-sobres-x-36-und-cu-411525/p,https://www.exito.com/instacrem-caja-light-en-sobres-x-36-und-cu-411525/p,978879,1.443,7702354934859
622,Café MATIZ Ámbar Grano (500 gr),500 gr,Café,MATIZ,https://www.exito.com/caf-ambar-grano-913610/p,https://www.exito.com/caf-ambar-grano-913610/p,1277868,6.136,7702032111237
623,Café TOSTAO Supremo Tostado Y Molido (454 gr),454 gr,Café,TOSTAO Y,https://www.exito.com/cafe-tostado-mol-supremo-tostao-454-gr-3068644/p,https://www.exito.com/cafe-tostado-mol-supremo-tostao-454-gr-3068644/p,3201414,3.891,7702439710873
624,Café BUENDIA Descafeinado (170 gr),170 gr,Café,BUENDIA,https://www.exito.com/cafe-buendia-descaf-x-170-gr-78443/p,https://www.exito.com/cafe-buendia-descaf-x-170-gr-78443/p,909115,4.729,7707211631438
625,Café COLCAFE suave clásico (50 gr),50 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-x-50-gr-15699/p,https://www.exito.com/cafe-instantaneo-x-50-gr-15699/p,5980,1.277,7702032253159
626,Café BUENDIA Molido Media (340 gr),340 gr,Café,BUENDIA,https://www.exito.com/cafe-tym-tostion-media-buendia-340-gramo-3005704/p,https://www.exito.com/cafe-tym-tostion-media-buendia-340-gramo-3005704/p,3008314,3.479,7707211633296
627,Café JUAN VALDEZ Finca grano (454 gr),454 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-tostado-grano-limonaria-kiwi-m-juan-valdez-454-gr-3129576/p,https://www.exito.com/cafe-tostado-grano-limonaria-kiwi-m-juan-valdez-454-gr-3129576/p,3409948,7.471,7701362002048
628,Café COLCAFE cappuccino mocca (270 gr),270 gr,Café,COLCAFE,https://www.exito.com/cappuccino-mocca-colcafe-270-gr-3156705/p,https://www.exito.com/cappuccino-mocca-colcafe-270-gr-3156705/p,3517539,3.264,7702032118571
629,Café JUAN VALDEZ Volcan molido (340 gr),340 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-premium-molido-tipo-expreso-volcan-juan-valdez-x-340g-421030/p,https://www.exito.com/cafe-premium-molido-tipo-expreso-volcan-juan-valdez-x-340g-421030/p,598941,5.064,7707280883868
630,Café COLCAFE clásico (50 gr),50 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-caramelo-x-50-gr-219486/p,https://www.exito.com/cafe-instantaneo-caramelo-x-50-gr-219486/p,455850,1.457,7702032253678
631,Chocolate LUKER sin azúcar con clavos y canela (224 gr),224 gr,Chocolate,LUKER,https://www.exito.com/chocolate-luker-amargo-224-gr-3191909/p,https://www.exito.com/chocolate-luker-amargo-224-gr-3191909/p,3624958,2.529,7702088215477
632,Chocolate LUKER mesa light (156.2 gr),156.2 gr,Chocolate,LUKER,https://www.exito.com/chocolate-mesa-light-luker-1562-gr-3031799/p,https://www.exito.com/chocolate-mesa-light-luker-1562-gr-3031799/p,3070520,2.271,7702088204730
633,Café CORDOBA (250 gr),250 gr,Café,CORDOBA,https://www.exito.com/cafe-871175/p,https://www.exito.com/cafe-871175/p,628490,1.280,7707108500045
634,café JUAN VALDEZ (190 gr),190 gr,café,JUAN VALDEZ,https://www.exito.com/cafe-liofilizado-en-frasco-190-gr-958473/p,https://www.exito.com/cafe-liofilizado-en-frasco-190-gr-958473/p,856939,5.864,7707211631476
635,Café BUENDIA Instant crema de whisky (85 gr),85 gr,Café,BUENDIA,https://www.exito.com/cafe-instant-crema-de-whisky-buendia-85-gramo-773894/p,https://www.exito.com/cafe-instant-crema-de-whisky-buendia-85-gramo-773894/p,1784634,3.029,7707211636044
636,Chocolate de mesa LA ESPECIAL pastillado tradicional (200 gr),200 gr,Chocolate,LA ESPECIAL,https://www.exito.com/chocolate-de-mesa-pastillado-tradicional-la-especial-200-gr-3158745/p,https://www.exito.com/chocolate-de-mesa-pastillado-tradicional-la-especial-200-gr-3158745/p,3526078,1.013,7702007082630
637,Café EXITO MARCA PROPIA instantáneo descafeinado (85 gr),85 gr,Café,EXITO MARCA PROPIA,https://www.exito.com/cafe-instantaneo-descafeinado-exito-x-85-gr-208503/p,https://www.exito.com/cafe-instantaneo-descafeinado-exito-x-85-gr-208503/p,142909,1.564,7701001097114
638,Crema Para Café TOSTAO Instantanea (150 gr),150 gr,Crema,TOSTAO,https://www.exito.com/crema-para-cafe-tostao-instantanea-150-gr-3175867/p,https://www.exito.com/crema-para-cafe-tostao-instantanea-150-gr-3175867/p,3567746,669,7708323728931
639,Café TOSTAO Soluble En Polvo (85 gr),85 gr,Café,TOSTAO,https://www.exito.com/cafe-en-polvo-instantaneo-tostao-85-gr-3072669/p,https://www.exito.com/cafe-en-polvo-instantaneo-tostao-85-gr-3072669/p,3214957,1.520,7702439885786
640,Café SELLO ROJO tostado y molido (120 gr),120 gr,Café,SELLO ROJO,https://www.exito.com/cafe-sello-rojo-mocca-88872/p,https://www.exito.com/cafe-sello-rojo-mocca-88872/p,326458,1.156,7702032102792
641,Chocolate de mesa LYNE clásico (166.4 gr),166.4 gr,Chocolate,LYNE,https://www.exito.com/chocolate-light-clasico-lyne-1664-gr-3122833/p,https://www.exito.com/chocolate-light-clasico-lyne-1664-gr-3122833/p,3383738,1.943,7702007077872
642,Café JUAN VALDEZ Cumbre molido (340 gr),340 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-cumbre-juan-valdez-340-gr-454784/p,https://www.exito.com/cafe-cumbre-juan-valdez-340-gr-454784/p,93705,4.636,7707280883790
643,Chocolate en polvo LYNE Endulzado (120 gr),120 gr,Chocolate,LYNE,https://www.exito.com/cocoa-dietaria-endulzado-lyne-120-gr-3122838/p,https://www.exito.com/cocoa-dietaria-endulzado-lyne-120-gr-3122838/p,3383743,1.893,7702007078008
644,Café JUAN VALDEZ Cumbre descafeinado molido (340 gr),340 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-molido-descafeinado-cumbre-340-gr-421029/p,https://www.exito.com/cafe-molido-descafeinado-cumbre-340-gr-421029/p,598926,5.414,7707280883806
645,Café BUENDIA Liofilizado (50 gr),50 gr,Café,BUENDIA,https://www.exito.com/cafe-liofilizado-x50g-95674/p,https://www.exito.com/cafe-liofilizado-x50g-95674/p,720190,1.593,7707211630219
646,Café COLCAFE descafeinado ligero (90 gr),90 gr,Café,COLCAFE,https://www.exito.com/cafe-descafeinado-ligero-colcafe-90-gr-3112426/p,https://www.exito.com/cafe-descafeinado-ligero-colcafe-90-gr-3112426/p,3350786,2.593,7702032117444
647,Café COLCAFE liofilizado (170 gr),170 gr,Café,COLCAFE,https://www.exito.com/cafe-liofilizado-colcafe-170-gr-3129486/p,https://www.exito.com/cafe-liofilizado-colcafe-170-gr-3129486/p,3409476,2.921,7702032118120
648,Chocolate SOL pastillas de cocoa (400 gr),400 gr,Chocolate,SOL,https://www.exito.com/chocolate-sol-pastillas-de-cocoa-400-gr-3194334/p,https://www.exito.com/chocolate-sol-pastillas-de-cocoa-400-gr-3194334/p,3631704,1.600,7702088215156
649,Chocolate CHOCOEXPRESS con clavos y canela (200 gr),200 gr,Chocolate,CHOCOEXPRESS,https://www.exito.com/chocolate-en-polvo-sabor-a-clavos-y-canela-doy-pack-x-200-gr-942962/p,https://www.exito.com/chocolate-en-polvo-sabor-a-clavos-y-canela-doy-pack-x-200-gr-942962/p,121838,2.307,7702088165253
650,Crema FRESCAMPO no láctea (430 gr),430 gr,Crema,FRESCAMPO,https://www.exito.com/crema-no-lactea-frescampo-430-gr-3127212/p,https://www.exito.com/crema-no-lactea-frescampo-430-gr-3127212/p,3402181,2.393,7701001926780
651,Café COLCAFE capuccino vainilla (108 gr),108 gr,Café,COLCAFE,https://www.exito.com/cappuccino-vainilla-colcafe-108-gr-3156703/p,https://www.exito.com/cappuccino-vainilla-colcafe-108-gr-3156703/p,3517537,1.416,7702032118434
652,Café BUENDIA Molido Alta (340 gr),340 gr,Café,BUENDIA,https://www.exito.com/cafe-tym-tostion-alta-buendia-340-gramo-3005703/p,https://www.exito.com/cafe-tym-tostion-alta-buendia-340-gramo-3005703/p,3008313,3.571,7707211639151
653,Dolce Gusto NESCAFE DOLCE GUSTO Chococino (160 gr),160 gr,Dolce,NESCAFE DOLCE GUSTO,https://www.exito.com/dolce-gusto-nescafe-dolce-gusto-chococino-160-gr-3173551/p,https://www.exito.com/dolce-gusto-nescafe-dolce-gusto-chococino-160-gr-3173551/p,3558763,3.593,7891000355886
654,Café JUAN VALDEZ Colina molido (250 gr),250 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-molido-balanceado-colina-250-gr-421028/p,https://www.exito.com/cafe-molido-balanceado-colina-250-gr-421028/p,598859,4.243,7707280880287
655,Café NESCAFE ANTIOQUIA (85 gr),85 gr,Café,NESCAFE ANTIOQUIA,https://www.exito.com/cafe-nescafe-antioquia-85-gr-3173386/p,https://www.exito.com/cafe-nescafe-antioquia-85-gr-3173386/p,3558176,2.636,7702024916550
656,Café NEW COLONY molido descafeinado (400 gr),400 gr,Café,NEW COLONY,https://www.exito.com/cafe-tostado-y-molido-descafeinado-x-400-gr-837539/p,https://www.exito.com/cafe-tostado-y-molido-descafeinado-x-400-gr-837539/p,457191,3.650,7702088355128
657,Chocolate GIRONES (500 gr),500 gr,Chocolate,GIRONES,https://www.exito.com/chocolate-clavos-y-canela-798398/p,https://www.exito.com/chocolate-clavos-y-canela-798398/p,353114,2.350,7703092100032
658,Chocolate CORONA + café tradicional (450 gr),450 gr,Chocolate,CORONA,https://www.exito.com/of-chocolate-corona-gratis-cafe-450-gr-3198401/p,https://www.exito.com/of-chocolate-corona-gratis-cafe-450-gr-3198401/p,3642527,2.243,7702007086836
659,Dolce Gusto NESCAFE DOLCE GUSTO LUNGO (112 gr),112 gr,Dolce,NESCAFE DOLCE GUSTO LUNGO,https://www.exito.com/dolce-gusto-nescafe-dolce-gusto-lungo-112-gr-3172641/p,https://www.exito.com/dolce-gusto-nescafe-dolce-gusto-lungo-112-gr-3172641/p,3555412,3.257,7891000147238
660,Café CAFE QUINDIO gourmet (250 gr),250 gr,Café,CAFE QUINDIO,https://www.exito.com/cafe-quindio-669463/p,https://www.exito.com/cafe-quindio-669463/p,715872,4.486,7702728232512
661,Café TOSTAO Supremo Tostado Y Molido (220 gr),220 gr,Café,TOSTAO Y,https://www.exito.com/cafe-tostado-supremo-tostao-220-gr-3068643/p,https://www.exito.com/cafe-tostado-supremo-tostao-220-gr-3068643/p,3201413,1.989,7702439640149
662,Café COLCAFE Granulado 85 Gm (85 gr),85 gr,Café,COLCAFE,https://www.exito.com/cafe-granulado-frasco-x-85-gr-281869/p,https://www.exito.com/cafe-granulado-frasco-x-85-gr-281869/p,619949,1.800,7702032104376
663,Café JUAN VALDEZ Orgánico molido (283 gr),283 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-organico-juan-valdez-283-gr-454788/p,https://www.exito.com/cafe-organico-juan-valdez-283-gr-454788/p,98876,4.836,7707280886029
664,Café OMA Export Line (340 gr),340 gr,Café,OMA,https://www.exito.com/cafe-export-line-899824/p,https://www.exito.com/cafe-export-line-899824/p,1248686,4.479,7702747009898
665,Crema no láctea INSTACREM original (450 gr),450 gr,Crema,INSTACREM,https://www.exito.com/instacrem-sin-lactosa-450-gr-15884/p,https://www.exito.com/instacrem-sin-lactosa-450-gr-15884/p,6063,3.221,7702354133009
666,Chocolate SOL de mesa 0% azúcar (125 gr),125 gr,Chocolate,SOL,https://www.exito.com/chocolate-amargo-10747/p,https://www.exito.com/chocolate-amargo-10747/p,1622762,1.416,7702088200466
667,Café BUENDIA liofilizado amareto (50 gr),50 gr,Café,BUENDIA,https://www.exito.com/cafe-liofilizado-sabor-amareto-buendia-50-gr-322241/p,https://www.exito.com/cafe-liofilizado-sabor-amareto-buendia-50-gr-322241/p,927630,1.807,7707211630608
668,Café COLCAFE clásico (300 gr),300 gr,Café,COLCAFE,https://www.exito.com/cafe-granulado-frasco-colcafe-300-gr-281874/p,https://www.exito.com/cafe-granulado-frasco-colcafe-300-gr-281874/p,620735,5.314,7702032104390
669,Café NESCAFE Artesano (85 gr),85 gr,Café,NESCAFE,https://www.exito.com/cafe-artesano-nescafe-85-gr-902123/p,https://www.exito.com/cafe-artesano-nescafe-85-gr-902123/p,1253526,2.429,7702024073772
670,Pods café JUAN VALDEZ Colina (91.2 gr),91.2 gr,Pods,JUAN VALDEZ,https://www.exito.com/cafe-molido-pods-colina-960984/p,https://www.exito.com/cafe-molido-pods-colina-960984/p,786222,3.100,7707280892020
671,Café COLCAFE clásico (170 gr),170 gr,Café,COLCAFE,https://www.exito.com/cafe-instantaneo-granulado-x-170-gr-281870/p,https://www.exito.com/cafe-instantaneo-granulado-x-170-gr-281870/p,620087,3.129,7702032104383
672,CAFE PERGAMINO (360 gr),360 gr,CAFE,CAFE PERGAMINO,https://www.exito.com/cafe-finca-lomaverde-pergamino-360-gramo-3003511/p,https://www.exito.com/cafe-finca-lomaverde-pergamino-360-gramo-3003511/p,3005688,4.793,7709741378333
673,Café JUAN VALDEZ Colina grano fuerte (1 und),1 und,Café,JUAN VALDEZ,https://www.exito.com/cafe-juan-valdez-colina-grano-1004422/p,https://www.exito.com/cafe-juan-valdez-colina-grano-1004422/p,1864761,5.921,7708088542520
674,Chocolate de mesa CRUZ de mesa sin azúcar (500 gr),500 gr,Chocolate,CRUZ,https://www.exito.com/chocolate-de-mesa-cruz-oft-gtis-125g-500-gr-3172553/p,https://www.exito.com/chocolate-de-mesa-cruz-oft-gtis-125g-500-gr-3172553/p,3555301,5.143,7702007083637
675,Café BUENDIA Caramelo (280 gr),280 gr,Café,BUENDIA,https://www.exito.com/cafe-buendia-caramelo-280-gr-3193070/p,https://www.exito.com/cafe-buendia-caramelo-280-gr-3193070/p,3628588,3.300,7707211634316
676,Cafe Molido FRUTO PAS,,Cafe,FRUTO PAS,https://www.exito.com/cafe-molido-bemoka-250-gr-622400/p,https://www.exito.com/cafe-molido-bemoka-250-gr-622400/p,546058,1.657,7702351002704
677,Café con Leche NESCAFE soluble (800 gr),800 gr,Café,NESCAFE,https://www.exito.com/cafe-con-leche-bolsa-nescafe-800-gr-3027748/p,https://www.exito.com/cafe-con-leche-bolsa-nescafe-800-gr-3027748/p,3055900,5.500,7702024249092
678,Cacao LOK PREMIUM PRODUCTS (200 gr),200 gr,Cacao,LOK PREMIUM PRODUCTS,https://www.exito.com/cacao-en-polvo-natural-961751/p,https://www.exito.com/cacao-en-polvo-natural-961751/p,1343674,4.086,7709367544778
679,Kit café JUAN VALDEZ x5 sachets variedades (280 gr),280 gr,Kit,JUAN VALDEZ,https://www.exito.com/kit-sachets-variedades-x-5-juan-valdez-350-gr-3152140/p,https://www.exito.com/kit-sachets-variedades-x-5-juan-valdez-350-gr-3152140/p,3497412,5.257,7701362004103
680,Café JUAN VALDEZ Cumbre molido (250 gr),250 gr,Café,JUAN VALDEZ,https://www.exito.com/cafe-cumbre-juan-valdez-250-gr-454783/p,https://www.exito.com/cafe-cumbre-juan-valdez-250-gr-454783/p,93617,4.243,7707280880218
681,Café BUENDIA Orgánico (85 gr),85 gr,Café,BUENDIA,https://www.exito.com/cafe-saborizado-buendia-85-gr-3024446/p,https://www.exito.com/cafe-saborizado-buendia-85-gr-3024446/p,3042263,3.000,7707211635641
682,Café con Leche NESCAFE soluble (450 gr),450 gr,Café,NESCAFE,https://www.exito.com/cafe-con-leche-450-gr-383022/p,https://www.exito.com/cafe-con-leche-450-gr-383022/p,300716,3.957,7702024012580
683,chocolate LUKER MESA CLAVOS CANELA (250 gr),250 gr,chocolate,LUKER MESA CLAVOS CANELA,https://www.exito.com/chocolat-clavos-canela-sin-azu-luker-250-gr-3039809/p,https://www.exito.com/chocolat-clavos-canela-sin-azu-luker-250-gr-3039809/p,3101875,2.664,7702088204693
684,Sticks Café JUAN VALDEZ Liofilizado x30 und (45 gr),45 gr,Sticks,JUAN VALDEZ,https://www.exito.com/liofilizado-en-sobres-de-15gr-juan-valdez-45-gr-3131127/p,https://www.exito.com/liofilizado-en-sobres-de-15gr-juan-valdez-45-gr-3131127/p,3416532,1.707,7707211635863
685,Cafe BARY Tostado y Molido Blend (300 gr),300 gr,Cafe,BARY,https://www.exito.com/cafe-bary-tostado-y-molido-blend-300-gr-3176408/p,https://www.exito.com/cafe-bary-tostado-y-molido-blend-300-gr-3176408/p,3568802,1.807,7702439330507
686,café DORIGENN (340 gr),340 gr,café,DORIGENN,https://www.exito.com/caf-molido-caribe-343017/p,https://www.exito.com/caf-molido-caribe-343017/p,1393327,4.614,7709389080698
687,Café TOSTAO tostado gourmet (340 gr),340 gr,Café,TOSTAO,https://www.exito.com/cafe-tostao-gourmet-x-340-gr-tostao-340-gr-3198360/p,https://www.exito.com/cafe-tostao-gourmet-x-340-gr-tostao-340-gr-3198360/p,3642461,2.731,7708024204598
688,Cafe COLCAFE LIOFILIZADO FEXPO (170 gr),170 gr,Cafe,COLCAFE LIOFILIZADO FEXPO,https://www.exito.com/cafe-colcafe-liofilizado-fexpo-170-gr-3189811/p,https://www.exito.com/cafe-colcafe-liofilizado-fexpo-170-gr-3189811/p,3619084,3.436,7702032119639
689,Chocolate de mesa CORONA instantáneo tradicional (950 gr),950 gr,Chocolate,CORONA,https://www.exito.com/chocolate-de-mesa-corona-instantaneo-950-gr-3179650/p,https://www.exito.com/chocolate-de-mesa-corona-instantaneo-950-gr-3179650/p,3578495,5.657,7702007083361
690,Café CAFE QUINDIO molido especial origen Génova (340 gr),340 gr,Café,CAFE QUINDIO,https://www.exito.com/cafe-especial-origen-genova-236633/p,https://www.exito.com/cafe-especial-origen-genova-236633/p,961061,5.607,7702728230129
691,Bolsa AMOR PERFECTO (350 gr),350 gr,Bolsa,AMOR PERFECTO,https://www.exito.com/bolsa-cafe-antioquia-mo-452210/p,https://www.exito.com/bolsa-cafe-antioquia-mo-452210/p,391236,4.671,7709990942613
692,Café Liofilizado NESCAFE GOLD instantáneo (100 gr),100 gr,Café,NESCAFE GOLD,https://www.exito.com/cafe-nescafe-gold-100-gr-57773/p,https://www.exito.com/cafe-nescafe-gold-100-gr-57773/p,1517206,4.229,7506475116626
